Barcode,Item Name,Category,Price,Stocks
DDF-Aozi-Dog-Adult-1kg,Aozi Dog Adult 1kg,Dog Dry Food,165,0
DDF-Aozi-Dog-Adult-1/2kg,Aozi Dog Adult 1/2kg,Dog Dry Food,85,0
DDF-Aozi-Dog-Puppy-1kg,Aozi Dog Puppy 1kg,Dog Dry Food,175,0
DDF-Aozi-Dog-Puppy-1/2kg,Aozi Dog Puppy 1/2kg,Dog Dry Food,90,0
DDF-Beef-Teriyaki-1kg,Beef Teriyaki 1kg,Dog Dry Food,80,0
DDF-Beef-Teriyaki-1/2kg,Beef Teriyaki 1/2kg,Dog Dry Food,40,0
DDF-Beef-Pro-Adult-1kg,BeefPro Adult 1kg,Dog Dry Food,150,0
DDF-Beef-Pro-Adult-1/2kg,BeefPro Adult 1/2kg,Dog Dry Food,75,0
DDF-BeefPro-Puppy-1kg,BeefPro Puppy 1kg,Dog Dry Food,165,0
DDF-BeefPro-Puppy-1/2kg,BeefPro Puppy 1/2kg,Dog Dry Food,85,0
DDF-Bingo-1kg,Bingo 1kg,Dog Dry Food,80,0
DDF-Bingo-1/2kg,Bingo 1/2kg,Dog Dry Food,40,0
DDF-Holistic-Adult-1kg,Holistic Adult 1kg,Dog Dry Food,190,0
DDF-Holistic-Adult-1/2kg,Holistic Adult 1/2kg,Dog Dry Food,95,0
DDF-Holistic-Puppy-1kg,Holistic Puppy 1kg,Dog Dry Food,195,0
DDF-Holistic-Puppy-1/2kg,Holistic Puppy 1/2kg,Dog Dry Food,100,0
DDF-Aozi-Lamb-Apple-1kg,Aozi Lamb Apple 1kg,Dog Dry Food,185,0
DDF-Aozi-Lamb-Apple-1/2kg,Aozi Lamb Apple 1/2kg,Dog Dry Food,95,0
DDF-Nutricare-Adult-1kg,Nutricare Adult 1kg,Dog Dry Food,110,0
DDF-Nutricare-Adult-1/2kg,Nutricare Adult 1/2kg,Dog Dry Food,55,0
DDF-Nutrichunks-Adult-1kg,Nutrichunks Adult  1kg,Dog Dry Food,135,0
DDF-Nutrichunks-Adult-1/2kg,Nutrichunks Adult 1/2kg,Dog Dry Food,65,0
